,,Name,Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,@GuvierGodoy,"2025-11-12 17:50:15",2,yes,no,"Parisi presidente",UCQxVf6dYmcQdsr09e9yivIw,Ugzop79RKjRXBOWGwup4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugzop79RKjRXBOWGwup4AaABAg
2,,@MargaritaAllimant,"2025-11-12 17:50:15",2,yes,no,"ASI GANAN VOTOS LOS CAMUNISTAS  OFRESIENDO MAS PLATA Y DESPUES SE HACEN MILLONARIOS A COSTA DE LOS HUONES Q. LE DAN LOS VOTOS COMUNISTAS H ANBRE Y RUINA ASI COMO DEJARON EL PAIS EN 4 ANOS  SEMBRADO DE MALEANTES.",UCPDSV26uw0rBLtUa_6gOtUA,Ugx54c2tiXy1aVGGL1l4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugx54c2tiXy1aVGGL1l4AaABAg
3,,@RobertoIgnacioScottGonza-rn8wq,"2025-11-12 17:50:15",2,yes,no,"No es por nada pero el que mas se impone en presencia y presentación con seguridad como un verdadero candidato tiene que ser es parisi",UCWpimfGEgPi3S3863NhE4uw,UgwX6W8pAR6rPcToiyB4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgwX6W8pAR6rPcToiyB4AaABAg
4,,@jazminosorioarredondo3754,"2025-11-12 17:50:15",1,yes,no,"DE TODOS ME GUSTA HAROLD",UCcNBbJoIwN0K0Ztx5YUFr5Q,Ugx13Sc56wcs39Posj94AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugx13Sc56wcs39Posj94AaABAg
5,,@jazminosorioarredondo3754,"2025-11-12 17:50:15",8,yes,no,"JARA ESTA CON AUDIFONO LA ESTAN AYUDANDO",UCcNBbJoIwN0K0Ztx5YUFr5Q,UgzNNW6LngxzQiJORb14AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgzNNW6LngxzQiJORb14AaABAg
6,,@julioleaman,"2025-11-12 17:50:15",3,yes,no,"PARISI dando catedra como siempre",UC7_rO0YLdUGS3d7HrOU0-vA,UgzarGGPPSLKgLGRiah4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgzarGGPPSLKgLGRiah4AaABAg
7,,@mariotorres1327,"2025-11-12 17:50:15",1,yes,no,"La verdad que me enerva me molesta y me da una indignación escuchar a todos estos ladrones que lo único que quieren es seguir robándose el dinero del partido que sea vuelvo y lo repito del partido que sea lo único que quieren es llegar a la maldita presidencia para robar a manos llenas como lo está haciendo el ladrón de presidente que tiene hoy por hoy nuestro país lo peor que puede haber en el mundo son los malditos políticos No les no les importa absolutamente nada lo único que quieren y postulan es para llenarse los bolsillos y después salir arrancando como la vieja estúpida de la bachelet",UCnFrw9yYjwb4BSSraXqbTKQ,UgwqCgrYQBOOKOpvEHF4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgwqCgrYQBOOKOpvEHF4AaABAg
8,,@RuebenMenesesarevalo,"2025-11-13 17:50:09",1,yes,no,"Q penca está temporera el único que merece ser presidente es Kaiser vsmon el domingo todo por Kaiser presidente",UC1_YuX48z6aWqws9CPXT8bA,UgwcGJ8naZTseziLhvR4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgwcGJ8naZTseziLhvR4AaABAg
9,,@cristianvillalobos5432,"2025-11-13 17:50:09",1,yes,no,"artes no es inversion publica, veo como se roban los remedios en los consultorios, la comida de los comedores, venden las maquinarias para que inicien las pymes, etc. eso gasto, y gasto mal utilizado.",UCSAHlfhUs5KN6W8cNPxPd-A,UgxfTxlOn3pEi0L11xF4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgxfTxlOn3pEi0L11xF4AaABAg
10,,@cristofherveragua,"2025-11-13 17:50:09",3,yes,no,"PARISI 2026,  es simple , quien tiene mayor currículum? No entiendo como chucha quieren votar por Jara , por que son tan weones !",UCpAhnZrmb8dnnbASYkFbivw,Ugx0l_cp2yvuHbbB1vN4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugx0l_cp2yvuHbbB1vN4AaABAg
